Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
QI,"Comedy, Game-Show",0,22027,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"Animation, Action, Adventure",0,6606,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Through the Wormhole,Documentary,0,11545,8.7,-1,-1,-1,-1,0,8,12,11,-1,1
Black Adder the Third,Comedy,0,25701,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mystery Science Theater 3000,"Comedy, Sci-Fi",0,17292,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mr. Robot,"Crime, Drama, Thriller",0,189026,8.7,79,23,22,1,0,8,784,701,39,44
Code Geass: Lelouch of the Rebellion,"Animation, Action, Adventure",0,26646,8.7,-1,-1,-1,-1,0,9,66,63,1,2
Spaced,Comedy,0,39961,8.7,-1,-1,-1,-1,0,8,35,30,2,3
Brass Eye,Comedy,0,6702,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Downton Abbey,"Drama, Romance",0,114031,8.7,91,16,15,1,0,8,324,295,11,18
Shameless,"Comedy, Drama",0,104817,8.7,-1,-1,-1,-1,0,8,11,10,-1,1
Fullmetal Alchemist,"Animation, Action, Adventure",0,39989,8.7,-1,-1,-1,-1,0,8,56,52,1,3
One Piece,"Animation, Action, Adventure",0,41075,8.8,-1,-1,-1,-1,0,8,76,67,1,8
Battlestar Galactica,"Action, Adventure, Drama",0,121883,8.7,-1,-1,1,-1,0,9,287,273,7,7
Star Trek: The Next Generation,"Action, Adventure, Mystery",0,66763,8.6,51,8,2,4,-1,8,69,60,5,4
This Is Us,"Comedy, Drama",0,9308,8.8,76,34,28,6,0,8,64,52,6,6
Yes Minister,Comedy,0,7285,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Louie,"Comedy, Drama",0,59092,8.6,69,20,15,4,-1,8,347,313,20,14
Generation Kill,"Drama, War",0,35058,8.6,80,27,23,3,-1,8,107,95,2,10
Impractical Jokers,"Comedy, Reality-TV",0,18288,8.7,-1,-1,2,1,0,8,46,42,1,3
Young Justice,"Animation, Action, Adventure",0,18471,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Atlanta,"Comedy, Drama",0,6433,8.8,90,36,35,1,0,9,165,155,3,7
Mad Men,Drama,0,145381,8.6,77,32,27,5,0,8,580,522,31,27
John Adams,"Biography, Drama, History",0,20134,8.6,78,27,23,4,0,8,119,100,11,8
Adventure Time,"Animation, Adventure, Comedy",0,49609,8.7,-1,-1,-1,-1,0,7,205,159,11,35
House of Cards,Drama,0,326913,9.0,85,11,11,-1,0,8,9,8,-1,1
Ash vs Evil Dead,"Action, Comedy, Fantasy",0,34576,8.7,75,25,22,3,0,8,323,295,14,14
Samurai Champloo,"Animation, Action, Adventure",0,24839,8.6,-1,-1,-1,-1,0,9,24,23,-1,1
Parks and Recreation,Comedy,0,127490,8.6,58,25,11,13,-1,7,338,258,58,22
Flight of the Conchords,"Comedy, Music",0,43475,8.6,68,15,8,6,-1,9,205,188,9,8
Dr. Horrible's Sing-Along Blog,"Comedy, Musical, Sci-Fi",0,34869,8.6,-1,-1,1,-1,0,8,33,27,2,4
The Bugs Bunny Show,"Animation, Comedy",0,14756,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
