Mad Men,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",0,145381,0,0,0,8.6
John Adams,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",0,20134,0,0,0,8.6
Adventure Time,"A human boy named Finn and adoptive brother and best friend Jake the Dog, protect the citizens of the Land of Ooo from foes of various shapes and sizes.",0,49609,0,0,0,8.7
House of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,0,326913,0,0,0,9.0
Ash vs Evil Dead,"Ash has spent the last 30 years avoiding responsibility, maturity and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.",0,34576,0,0,0,8.7
Samurai Champloo,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",0,24839,0,0,0,8.6
Parks and Recreation,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,0,127490,0,0,0,8.6
Flight of the Conchords,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",0,43475,0,0,0,8.6
Dr. Horrible's Sing-Along Blog,An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,0,34869,0,0,0,8.6
The Bugs Bunny Show,"Bugs Bunny, the famous, Oscar-winning cartoon rabbit, hosts his first weekly television series, along with all his fellow Warner Brothers cartoon stars, including Daffy Duck, Porky Pig, ...",0,14756,0,0,0,8.6
Friday Night Lights,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",70,47677,85,3.6,7.1,7.3
Father Ted,"Crazy sitcom about 3 priests and their housekeeper who live on Craggy Island, not the peaceful and quiet part of Ireland it seems!",0,26545,20,2.4,0,8.6
Kardes Payi,The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,0,7696,0,0,0,8.9
Monster,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",74,106721,81,3.5,7.2,7.3
Justice League,Seven of the most formidable heroes form arguably the most powerful team ever.,0,27762,83,3.9,0,8.6
Justified,"Old-school U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal-mining towns in Eastern Kentucky.",0,64527,0,0,0,8.6
Alfred Hitchcock Presents,"Series of unrelated short stories covering elements of crime, horror, drama and comedy about people of different species committing murders, suicides, thefts and other sorts of crime caused by certain motivations; perceived or not.",0,8958,0,0,0,8.6
Gomorrah,0,87,38837,70,3.5,7.7,7.0
Boardwalk Empire,"An Atlantic City politician plays both sides of the law, conspiring with gangsters during the Prohibition era.",0,138283,0,0,0,8.6
The Bridge,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",0,30369,0,0,0,8.6
The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium. Based on the hit BBC series.",0,207485,0,0,0,8.8
The Colbert Report,"Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way.",0,31464,0,0,0,8.6
Homicide: Life on the Street,A police homicide investigation unit investigates violent crimes in the city of Baltimore.,0,8477,0,0,0,8.7
Neon Genesis Evangelion,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,0,27447,0,0,0,8.6
Tinker Tailor Soldier Spy,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet agent within MI6.",85,150940,65,3.5,7.8,7.1
Coupling,0,0,35286,0,0,0,8.6
Spartacus: Gods of the Arena,"Before Spartacus struck down his first opponent in the arena, there were many gladiators who passed through the gates onto the sand.'Spartacus: Gods of the Arena' tells the story of the ...",0,92839,0,0,0,8.6
The Newsroom,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",0,81996,0,0,0,8.6
Peep Show,0,0,35680,0,0,0,8.6
Rurouni Kenshin: Wandering Samurai,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,0,11578,0,0,0,8.6
The Angry Video Game Nerd,A foul-mouthed nerd reviews bad video games.,0,10549,0,0,0,8.6
The Prisoner,0,0,9075,35,2.7,0,8.6
Whose Line Is It Anyway?,Improvisational comedy game show in which four players act out various comic games and sketches.,0,31343,0,0,0,8.6
The Venture Bros.,"The bizarre animated escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high strung bodyguard, and his two over-enthusiastic sons.",0,18788,0,0,0,8.6
Suits,"On the run from a drug deal gone bad, Mike Ross, a brilliant college-dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers.",0,250140,0,0,0,8.7
Luther,A crime drama series starring Idris Elba as a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,0,74208,0,0,0,8.6
Leyla and Mecnun,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",0,66354,0,0,0,9.2
Vikings,0,0,205503,0,0,0,8.6
The Legend of Korra,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,0,67386,0,0,0,8.6
Behind the Scenes: Agatha Christie's Poirot,"David Suchet, the actor who has portrayed Poirot for more than 20 years, is interviewed and hosts this retrospective. The viewer is taken behind the scenes, and will be able to see Suchet ...",0,13,0,0,0,7.0
The IT Crowd,The comedic adventures of a rag-tag group of technical support workers at a large corporation.,0,94670,0,0,0,8.6
Black Books,"Bernard Black runs his own bookshop even though he doesn't much like people who buy books and hates having customers. Next door to Bernard's shop is the Nifty Gifty gift shop run by Fran, ...",0,41333,0,0,0,8.6
Mr. Bean,"Life is a difficult challenge for Mr Bean, who despite being a grown adult, has trouble completing even the simplest of tasks. Thankfully, his perseverance is usually rewarded, and he finds an ingenious way around the problem.",0,64031,0,0,0,8.5
Ghost in the Shell: Stand Alone Complex,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,0,12347,0,0,0,8.6
I'm Alan Partridge,"Alan Partridge a failed television presenter whose previous exploits had featured in the chat-show parody Knowing Me, Knowing You with Alan Partridge, and who is now presenting a programed on local radio in Norwich.",0,13084,0,0,0,8.6
Hannibal,"Living in exile, Hannibal Lecter tries to reconnect with now disgraced FBI agent Clarice Starling and finds himself a target for revenge from a powerful victim.",57,210045,62,3.4,5.1,6.8
Futurama,"Fry, a pizza guy, is accidentally frozen in 1999 and thawed out New Year's Eve 2999.",0,157816,0,0,0,8.5
Spartacus: War of the Damned,Watch the story of history's greatest gladiator unfold with graphic violence and the passions of the women that love them. This is Spartacus.,0,175293,0,0,0,8.6
Jesus of Nazareth,"Beginning before the Nativity and extending through the Crucifixion and Ressurection, JESUS OF NAZARETH brings to life all the sweeping drama in the life of Jesus, as told by the Gospels.",0,13118,86,4.2,0,8.6
Sons of Anarchy,A man in his early 30s struggles to find a balance in his life between being a new dad and his involvement in a motorcycle club.,0,185707,0,0,0,8.6
The People v. O.J. Simpson: American Crime Story,"An anthology series centered around some of history's most famous criminals, including O.J Simpson.",0,25284,0,0,0,8.5
The Knick,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,0,29416,0,0,0,8.6
Silicon Valley,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. A comedy partially inspired by Mike Judge's own ...",0,64030,0,0,0,8.5
Wentworth Prison,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,0,8241,0,0,0,8.8
Behzat Ç.: Bir Ankara Polisiyesi,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other...",0,16699,0,0,0,8.8
Garth Marenghi's Darkplace,"This parody series is an unearthed 80s horror/drama, complete with poor production values, awful dialogue and hilarious violence. The series is set in a Hospital in Romford, which is situated over the gates of Hell.",0,12026,0,0,0,8.6
Permanent Roommates,"A couple, who were in a long distance relationship for 3 years, face the prospect of getting married.",0,10904,0,0,0,8.8
Police Squad!,"Sight-gags and non-sequiturs dominate this spoof of police dramas. The six episodes formed the basis for later very successful ""Naked Gun"" movies.",0,10347,0,0,0,8.5
Isler Güçler,0,0,14620,0,0,0,8.7
Community,A suspended lawyer is forced to enroll in a community college with an eclectic staff and student body.,0,148510,0,0,0,8.5
Carnivàle,"During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.",0,34101,0,0,0,8.5
Modern Family,"Three different, but related families face trials and tribulations in their own uniquely comedic ways.",0,251844,0,0,0,8.5
X-Men,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,64,461714,83,3.7,7.1,7.4
State of Play,"When a congressional aide is killed, a Washington D.C. journalist starts investigating the case involving the congressman, his old college friend.",64,114452,73,3.6,6.9,7.1
The Larry Sanders Show,A comedic behind the scenes look at a late night talk show.,0,4857,0,0,0,8.6
Scenes from a Marriage,"Ten years of Marianne and Johan's relationship are presented. We first meet them ten years into their marriage. He is a college professor, she a divorce lawyer. They say that they are ...",0,11794,95,4.4,8.5,8.5
Jeeves and Wooster,"Bertram Wooster, a well-intentioned, wealthy layabout, has a habit of getting himself into trouble and it's up to his brilliant valet, Jeeves, to get him out.",0,8108,0,0,0,8.6
Endeavour,"Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",0,7236,0,0,0,8.6
Entourage,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,0,137378,0,0,0,8.5
Parasyte: The Maxim,"The 17-year-old Izumi Shinichi lives with his mother and father in a quiet neighborhood in Tokyo. One night, worm-like aliens called Parasytes invade Earth, taking over the brains of human ...",0,7493,0,0,0,8.6
The Walking Dead,"Sheriff Deputy Rick Grimes leads a group of survivors in a world overrun by the walking dead. Fighting the dead, fearing the living.",0,658027,0,0,0,8.6
The Muppet Show,Kermit the Frog and his friends struggle to put on a weekly variety show.,0,15405,0,0,0,8.5
Utopia,"After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'.",0,25788,0,0,0,8.5
Generation War,Five friends go out to war and promise each other to be back for Christmas.,57,15112,90,4.2,6.1,8.5
Happy Valley,Catherine Cawood is the sergeant on duty when flustered and nervous accountant Kevin Weatherill comes into her West Yorkshire station to report a crime.,0,14382,0,0,0,8.5
Mushi-Shi,They are neither plants nor animals. They differ from other forms of life such as the micro-organisms and the fungi. Instead they resemble the primeval body of life and are generally known ...,0,7760,94,4.6,0,8.5
Mr. Show with Bob and David,This is a sketch-comedy show. The twist here is that all of the sketches (Even the monologue) are connected in some strange way.,0,6881,85,3.7,5.9,8.5
Naruto: Shippûden,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",0,46406,0,0,0,8.6
Brigada,"Brigada is a group of four friends, who grew up together and formed a most powerful gang in Moscow. Initially they made business together, but an unplanned murder transformed them into a ...",0,6733,0,0,0,8.6
Roots,A dramatization of author Alex Haley's family line from ancestor Kunta Kinte's enslavement to his descendants' liberation.,0,11689,0,0,0,8.5
Doctor Who,The adventures of the doctor who is an time traveling alien from the planet Galifrey. He has commons and space and lots more,0,151514,0,0,0,8.8
Yu Yu Hakusho: Ghost Files,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...",0,7439,78,3.9,0,8.5
My Mad Fat Diary,"Set in 1996 in Lincolnshire, the show tells the tragic and humorous story of a very troubled young girl, Rae, who spent four months in a psychiatric hospital for attempted suicide. After ...",0,10891,0,0,0,8.6
Borgen,"A political drama about a prime minister's rise to power, and how power changes a prime minister.",0,11561,0,0,0,8.5
Top Gear,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",0,81037,0,0,0,8.8
Red Dwarf,"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf.",0,25196,19,1.5,0,8.4
The Get Down,A ragtag group of teenagers run wild in the streets of the Bronx in the late 1970s.,0,9929,0,0,0,8.6
The Kingdom,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,56,102077,76,3.6,5.8,7.1
Bleak House,A suspenseful tale about the injustices of the 19th-century English legal system,0,6531,0,0,0,8.5
24: Live Another Day,Jack Bauer comes out of hiding in London to head off a massive terrorist attack while being hunted down by American forces dispatched by President James Heller.,0,35237,0,0,0,8.5
