Title,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,userscore,usercount,userpos,usermixed,userneg
Samurai Champloo,24839,8.6,-1,-1,-1,-1,9,24,23,-1,1
Parks and Recreation,127490,8.6,58,25,11,13,7,338,258,58,22
Flight of the Conchords,43475,8.6,68,15,8,6,9,205,188,9,8
Dr. Horrible's Sing-Along Blog,34869,8.6,-1,-1,1,-1,8,33,27,2,4
The Bugs Bunny Show,14756,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Friday Night Lights,43641,8.7,78,32,29,2,9,303,280,6,17
Father Ted,26545,8.6,-1,-1,-1,-1,8,21,18,1,2
Kardes Payi,7696,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Monster,9371,8.7,-1,-1,-1,-1,8,22,20,-1,2
Justice League,27762,8.6,-1,-1,-1,-1,8,26,23,1,2
Justified,64527,8.6,80,27,23,4,9,519,489,18,12
Alfred Hitchcock Presents,8958,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gomorrah,10939,8.7,76,15,14,1,8,42,37,2,3
Boardwalk Empire,138283,8.6,88,31,29,2,8,629,582,23,24
The Bridge,30369,8.6,65,13,5,8,7,17,13,-1,4
The Office,207485,8.8,62,30,15,12,8,324,283,26,15
The Colbert Report,31464,8.6,65,22,13,7,8,172,154,7,11
Homicide: Life on the Street,8477,8.7,94,18,18,-1,8,19,17,1,1
Neon Genesis Evangelion,27447,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tinker Tailor Soldier Spy,5142,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coupling,35286,8.6,-1,-1,-1,-1,8,27,24,2,1
Spartacus: Gods of the Arena,92839,8.6,55,6,3,2,8,163,149,8,6
The Newsroom,81996,8.6,56,31,13,12,8,518,434,49,35
Peep Show,35680,8.6,-1,-1,-1,-1,8,36,33,-1,3
Rurouni Kenshin: Wandering Samurai,11578,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Angry Video Game Nerd,10549,8.6,-1,-1,-1,-1,8,24,21,-1,3
The Prisoner,9075,8.6,45,21,3,12,3,81,24,9,48
Whose Line Is It Anyway?,31343,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Venture Bros.,18788,8.6,-1,-1,-1,-1,8,44,42,-1,2
Suits,250140,8.7,61,17,8,8,8,486,439,24,23
Luther,74208,8.6,83,11,11,-1,7,255,189,8,58
Leyla and Mecnun,66354,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Vikings,205503,8.6,71,20,17,3,7,582,484,22,76
The Legend of Korra,67386,8.6,-1,-1,3,-1,8,318,281,15,22
The IT Crowd,94670,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Black Books,41333,8.6,-1,-1,-1,-1,8,31,29,1,1
Mr. Bean,64031,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ghost in the Shell: Stand Alone Complex,12347,8.6,-1,-1,-1,-1,8,36,31,1,4
I'm Alan Partridge,13084,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hannibal,163087,8.6,70,32,21,8,8,942,847,36,59
Futurama,157816,8.5,72,28,22,5,9,218,204,9,5
Spartacus: War of the Damned,175293,8.6,56,9,4,3,7,156,123,9,24
Jesus of Nazareth,13118,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sons of Anarchy,185707,8.6,68,23,13,9,8,519,456,24,39
The People v. O.J. Simpson: American Crime Story,25284,8.5,90,45,43,2,8,311,277,12,22
The Knick,29416,8.6,75,37,28,9,8,219,198,7,14
Silicon Valley,64030,8.5,84,36,34,2,8,390,355,19,16
Wentworth Prison,8241,8.8,65,32,21,9,9,626,576,25,25
Behzat Ç.: Bir Ankara Polisiyesi,16699,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Garth Marenghi's Darkplace,12026,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Permanent Roommates,10904,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Police Squad!,10347,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Isler Güçler,14620,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Community,148510,8.5,69,23,16,7,8,679,638,12,29
Carnivàle,34101,8.5,65,28,18,9,8,60,55,1,4
Modern Family,251844,8.5,86,27,27,-1,8,603,540,30,33
X-Men,24851,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Larry Sanders Show,4857,8.6,91,15,15,-1,6,14,10,1,3
