Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg,Kmeans
Fullmetal Alchemist,2,0,1,0,39989,8.7,-1,-1,-1,-1,0,8,56,52,1,3,4
One Piece,2,0,1,0,41075,8.8,-1,-1,-1,-1,0,8,76,67,1,8,4
Battlestar Galactica,0,1,7,0,121883,8.7,-1,-1,1,-1,0,9,287,273,7,7,4
Star Trek: The Next Generation,0,1,15,0,66763,8.6,51,8,2,4,-1,8,69,60,5,4,4
This Is Us,4,7,7,0,9308,8.8,76,34,28,6,0,8,64,52,6,6,4
Yes Minister,4,4,4,0,7285,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Louie,4,7,7,0,59092,8.6,69,20,15,4,-1,8,347,313,20,14,4
Generation Kill,7,24,24,0,35058,8.6,80,27,23,3,-1,8,107,95,2,10,4
Impractical Jokers,4,17,17,0,18288,8.7,-1,-1,2,1,0,8,46,42,1,3,4
Young Justice,2,0,1,0,18471,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Atlanta,4,7,7,0,6433,8.8,90,36,35,1,0,9,165,155,3,7,4
Mad Men,7,7,7,0,145381,8.6,77,32,27,5,0,8,580,522,31,27,4
John Adams,3,7,11,0,20134,8.6,78,27,23,4,0,8,119,100,11,8,4
Adventure Time,2,1,4,0,49609,8.7,-1,-1,-1,-1,0,7,205,159,11,35,4
House of Cards,7,7,7,0,326913,9.0,85,11,11,-1,0,8,9,8,-1,1,4
Ash vs Evil Dead,0,4,9,0,34576,8.7,75,25,22,3,0,8,323,295,14,14,4
Samurai Champloo,2,0,1,0,24839,8.6,-1,-1,-1,-1,0,9,24,23,-1,1,4
Parks and Recreation,4,4,4,0,127490,8.6,58,25,11,13,-1,7,338,258,58,22,4
Flight of the Conchords,4,13,13,0,43475,8.6,68,15,8,6,-1,9,205,188,9,8,4
Dr. Horrible's Sing-Along Blog,4,14,19,0,34869,8.6,-1,-1,1,-1,0,8,33,27,2,4,4
The Bugs Bunny Show,2,4,4,0,14756,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Friday Night Lights,7,21,21,0,43641,8.7,78,32,29,2,-1,9,303,280,6,17,4
Father Ted,4,4,4,0,26545,8.6,-1,-1,-1,-1,0,8,21,18,1,2,4
